日期,产品名称,类别,销售渠道,销售数量,单价(元),销售额(元)
2026-08-18,经典矿泉水,水,线上商城,120,2.5,300
2026-08-18,经典矿泉水,水,线下门店,85,2.5,212.5
2026-08-18,鲜榨橙汁,果汁,线上商城,65,8.5,552.5
2026-08-18,蜜桃乌龙茶,茶饮,线下门店,42,6,252
2026-08-19,经典矿泉水,水,线上商城,135,2.5,337.5
2026-08-19,鲜榨橙汁,果汁,线下门店,78,8.5,663
2026-08-19,蜂蜜柚子茶,茶饮,线上商城,56,7,392
2026-08-20,经典矿泉水,水,线下门店,92,2.5,230
2026-08-20,鲜榨橙汁,果汁,线上商城,71,8.5,603.5
2026-08-20,蜜桃乌龙茶,茶饮,线上商城,48,6,288
2026-08-21,经典矿泉水,水,线上商城,110,2.5,275
2026-08-21,鲜榨橙汁,果汁,线下门店,89,8.5,756.5
2026-08-21,蜂蜜柚子茶,茶饮,线下门店,37,7,259
2026-08-22,经典矿泉水,水,线下门店,145,2.5,362.5
2026-08-22,鲜榨橙汁,果汁,线上商城,95,8.5,807.5
2026-08-22,蜜桃乌龙茶,茶饮,线上商城,63,6,378
2026-08-22,经典矿泉水,水,线上商城,128,2.5,320
2026-08-23,蜂蜜柚子茶,茶饮,线下门店,41,7,287
2026-08-23,鲜榨橙汁,果汁,线上商城,82,8.5,697
2026-08-24,经典矿泉水,水,线上商城,150,2.5,375
2026-08-24,鲜榨橙汁,果汁,线下门店,103,8.5,875.5
2026-08-24,蜜桃乌龙茶,茶饮,线上商城,55,6,330
